'-0.282ETA_Epsilon_2+0.271MLogP+0.27 SpMin4_Bhm-0.261AATSC0s-0.251Mpe...',-0.309AATSC5c+0.298BCUTc-1l-0.296GATS6c-0.278AVP-2-0.217ATSC3e...,-0.365GGI9-0.345ALogp2-0.301SpMAD_Dze+0.273ETA_AlphaP-0.262ATSC3e...,-0.368nHaaCH-0.368naaCH-0.29AATS3p-0.274AATS0m-0.252maxHBint5...,-0.43SIC4-0.423BIC3-0.278GATS4p+0.271JGT+0.222BCUTc-1l...,'0.371MATS1c+0.345MATS5e_Exp+0.29 MATS3c+0.273AATSC7e_Exp-0.256GATS6c...',-0.411AATSC8c+0.376ATSC1i_Exp+0.293VR1_Dzv+0.271GATS8s_Exp-0.269VR1_D_Exp...,Results
1.764717,-1.650578,-0.022693,2.236458,-0.09171,-1.254213,-0.497322,1
1.789572,-1.132275,0.254804,-0.290123,2.45985,0.116648,0.960902,0
2.375808,-0.479472,0.658716,0.131216,-1.358951,0.947967,-0.425793,0
-1.537904,0.948951,-1.669121,-1.966317,-1.985807,-1.063039,0.820413,0
1.976912,0.535802,-3.507226,-2.143086,-0.768649,-1.024486,0.485044,0
1.619247,-1.902619,-0.12083,2.259681,-0.040813,-0.398177,-0.202154,1
-3.395588,0.728609,-4.345649,-1.32464,0.076469,-0.096561,0.163624,0
2.118548,-1.264828,-2.895199,-0.010202,-0.78821,0.495832,-1.121133,0
2.98302,0.107078,1.399799,0.478377,1.126856,-0.473981,-0.494084,0
-2.118505,5.259132,-1.909572,0.563298,4.587477,0.636542,-0.110956,1
2.371323,0.444711,1.811753,0.351169,-0.232848,1.36041,-0.487991,1
0.826005,1.818154,-3.578585,-0.89225,1.033166,2.216675,-1.050276,1
-2.291982,3.134582,1.641517,2.227404,-1.515487,-4.190351,2.728243,1
-5.15014,-2.315878,-0.111115,-0.13261,-2.012048,1.728584,0.226081,1
3.045778,-1.299659,0.156443,1.513734,-0.675955,1.409035,-1.181904,1
1.782934,-0.82658,0.466675,2.030739,-1.183822,1.573572,-0.771672,1
1.782934,-0.82658,0.466675,2.030739,-1.183822,1.573572,-0.771672,1
3.615955,-0.878073,-1.253684,-1.480183,0.557426,0.681794,-0.926544,1
2.288792,-0.614627,1.39718,-2.334515,-0.322368,0.12807,-0.690975,1
2.267682,-0.712979,-1.633219,-0.002204,-0.465862,0.901206,-0.692185,0
0.671398,-1.224735,2.060088,0.774842,-2.16326,3.211443,-0.192615,0
-5.071035,-2.452388,-0.155199,-0.334038,-1.955699,1.62159,1.130978,0
-5.071035,-2.452388,-0.155199,-0.334038,-1.955699,1.62159,1.130978,0
-2.303178,1.110607,-0.842588,1.328455,-2.647838,-1.249239,1.801082,0
2.635101,0.862757,0.122272,0.045985,-1.026849,0.04423,0.927424,0
1.515687,-1.764876,-1.176647,2.335567,-0.684934,0.553167,0.81721,0
-1.552726,2.318868,1.488792,0.39766,-2.474826,-0.619035,1.361548,0
-0.787754,-0.646381,0.267942,1.18175,-1.95323,0.303507,0.635141,0
0.577766,-1.691403,2.787876,1.84891,2.59784,-0.686913,-0.313469,1
0.243844,-0.039966,2.446543,-3.330122,0.738507,-0.921967,0.057898,0
2.293842,-0.948456,-1.792415,-0.094068,-0.522299,0.776714,0.064352,1
-5.732205,-6.062244,1.780811,0.552754,3.02838,-1.348047,4.143982,0
-2.212877,2.998072,1.597433,2.025976,-1.459138,-4.297345,3.63314,0
-1.648295,-0.565349,0.629971,-0.609411,-1.937729,-0.700602,-0.567579,1
-8.270641,-3.667063,0.43963,-1.57438,1.704143,-1.07054,-2.751367,0
2.407706,-0.751499,-1.325406,-2.348482,0.378434,0.269564,1.072698,0
2.788983,-0.326323,0.749269,-1.32517,1.758517,0.845622,0.862036,0
-5.501416,-0.973814,-2.434802,0.226938,-1.303335,2.048414,1.470922,1
-0.307247,-0.632167,-6.013629,-0.191043,-0.737609,-0.336677,0.575908,0
3.062125,-0.029431,1.355714,0.276949,1.183205,-0.580975,0.410813,1
-2.0394,5.122623,-1.953657,0.36187,4.643826,0.529547,0.793941,0
1.862039,-0.96309,0.42259,1.829312,-1.127473,1.466578,0.133226,0
2.577767,-0.150768,-0.053577,-1.463453,0.44496,-2.079981,2.193017,0
0.812666,-2.370501,-5.752467,0.543465,-0.701525,0.194558,0.117069,0
-1.445906,0.668521,-1.674785,-2.083449,-1.782718,-0.839738,1.784539,0
-0.452796,-1.192064,-2.370813,-1.942753,0.107998,-1.365227,0.044958,0
-3.316483,0.5921,-4.389734,-1.526067,0.132818,-0.203555,1.068521,0
-0.072069,-0.190837,0.389197,-4.256559,1.333541,-0.939877,-0.421361,0
1.675261,-1.687507,-0.024174,2.011198,0.013096,-0.573891,0.353885,0
-1.282735,-2.015472,2.065545,-0.536929,-0.05471,-1.679968,-0.331246,0
-0.787754,-0.646381,0.267942,1.18175,-1.95323,0.303507,0.635141,0
0.577766,-1.691403,2.787876,1.84891,2.59784,-0.686913,-0.313469,1
0.243844,-0.039966,2.446543,-3.330122,0.738507,-0.921967,0.057898,0
2.293842,-0.948456,-1.792415,-0.094068,-0.522299,0.776714,0.064352,0
-5.732205,-6.062244,1.780811,0.552754,3.02838,-1.348047,4.143982,0
3.904012,0.48354,0.657711,0.375177,2.67288,0.418577,0.475876,0
-1.648295,-0.565349,0.629971,-0.609411,-1.937729,-0.700602,-0.567579,1
-8.270641,-3.667063,0.43963,-1.57438,1.704143,-1.07054,-2.751367,1
2.788983,-0.326323,0.749269,-1.32517,1.758517,0.845622,0.862036,0
2.197653,-1.401338,-2.939284,-0.211629,-0.731862,0.388838,-0.216236,0
3.062125,-0.029431,1.355714,0.276949,1.183205,-0.580975,0.410813,1
-2.0394,5.122623,-1.953657,0.36187,4.643826,0.529547,0.793941,0
-5.071035,-2.452388,-0.155199,-0.334038,-1.955699,1.62159,1.130978,0
1.862039,-0.96309,0.42259,1.829312,-1.127473,1.466578,0.133226,0
