0.283ETA_Epsilon_2-0.27MLogP-0.265SpMin4_Bhm+0.258AATSC0s+0.246Mpe...,0.362GGI9+0.314SpMAD_Dze+0.286ALogp2+0.235SpMin3_Bhp-0.227AVP-2...,0.337BCUTc-1l-0.283ATSC3e+0.274AATS0m+0.229AATS3p-0.222GATS6c...,-0.37nHaaCH-0.37naaCH-0.282AATS3p-0.251maxHBint5-0.247AATS0m...,-0.438SIC4-0.426BIC3+0.261AATSC5c+0.221VR1_Dze+0.206JGT...,-0.332MATS5e_Exp-0.317MATS1c+0.293GATS6c-0.264AATSC7e_Exp-0.251MATS3c...,0.447ATSC1i_Exp-0.409VR1_D_Exp-0.408AATSC3m_Exp+0.284GATS8s_Exp+0.235VR1_Dzv...,-0.357VR1_Dzv-0.332VR1_Dze+0.327AATSC8c-0.294VR1_D_Exp+0.252AATSC5c...,0.416MDEC-13-0.39GATS5e-0.305ALogp2+0.243JGT+0.242AATS3p...,-0.396AATSC7e_Exp+0.342GATS8s_Exp-0.281MATS5e_Exp-0.258ETA_AlphaP+0.228GATS5i...,-0.515ETA_BetaP_Exp+0.376GATS5i-0.33ETA_AlphaP-0.256AATS0m-0.254VR1_D_Exp...,-0.331ETA_BetaP_Exp+0.307AVP-2+0.293GATS8s_Exp-0.287GATS6c+0.286AATSC3m_Exp...,'0.436ATSC7c-0.361MDEC-13-0.306BIC3+0.24 ETA_dEpsilon_D+0.238MATS5e_Exp...',Results
-1.592511,-0.62906,-1.449421,2.150337,0.287303,1.260254,-0.103081,0.289769,-0.290815,1.487551,0.128239,-1.216518,0.720705,C
-1.576532,-0.530135,-0.550446,-0.35079,3.176064,1.071708,-0.30809,-3.809695,-0.513126,1.82915,-1.009578,-0.384617,0.400849,K
-2.226011,-0.809281,-0.84423,0.206346,-0.554382,-0.249564,-1.922259,-1.661138,-0.826359,1.592295,-1.716669,0.262052,-0.130518,K
1.528711,1.858641,-0.078134,-1.649929,-2.339933,1.442272,-0.684569,-2.345509,-0.355306,1.105726,-1.134334,-0.270441,1.281404,K
-1.850177,3.43575,-0.890705,-1.937192,-0.820212,1.757793,-0.841177,-2.587966,-0.008579,0.676537,-0.682008,-0.720424,1.238038,K
-1.441053,-0.550855,-1.56335,2.163162,0.189164,0.207963,0.345425,0.45928,0.010291,0.369031,-0.335716,-2.34942,1.498874,C
3.427075,4.38946,-0.366211,-1.154362,-0.518801,0.093973,0.031622,-0.293493,0.851153,-0.115064,0.173384,0.5141,0.522622,K
-1.969386,2.230328,-2.261064,-0.067775,-0.250501,-0.411991,-1.06162,0.924787,-3.440089,-1.407506,0.869835,-0.54325,-0.203028,K
-2.911103,-1.214724,1.00516,0.484086,0.760765,0.46583,-0.233512,0.811765,-1.002149,-1.459005,-0.614974,0.295937,-0.087989,K
2.126281,4.146277,5.630886,0.602491,2.878855,-0.563901,0.177211,0.677162,-0.197712,1.121363,-0.732226,-2.118926,-0.684844,C
-2.324768,-1.472334,0.843791,0.294054,-0.029919,-1.29521,-0.76683,-0.252921,0.43787,1.029286,-0.750258,-0.685819,0.881975,C
-0.618356,4.33042,0.761527,-1.059008,1.177256,-1.997088,-1.164135,1.047551,-4.465534,-0.934521,-0.250648,-3.661845,-2.151354,C
