'-0.283ETA_Epsilon_2+0.27 MLogP+0.265SpMin4_Bhm-0.258AATSC0s-0.246Mpe...',-0.362GGI9-0.314SpMAD_Dze-0.286ALogp2-0.235SpMin3_Bhp+0.227AVP-2...,-0.337BCUTc-1l+0.283ATSC3e-0.274AATS0m-0.229AATS3p+0.222GATS6c...,-0.37nHaaCH-0.37naaCH-0.282AATS3p-0.251maxHBint5-0.247AATS0m...,0.438SIC4+0.426BIC3-0.261AATSC5c-0.221VR1_Dze-0.206JGT...,-0.396AATSC7e_Exp+0.342GATS8s_Exp-0.281MATS5e_Exp-0.258ETA_AlphaP+0.228GATS5i...,0.349MDEC-13+0.339maxHBint5-0.328GATS4p-0.328JGT-0.305VR1_Dzv...,'-0.523ALogp2+0.33 AATSC0s+0.283ATSC7c-0.232AATS3p+0.209GATS5e...',0.528VR1_Dzv-0.488VR1_Dze+0.302ATSC7c+0.194ETA_dEpsilon_D-0.193AATSC0s...,Results
1.592511,0.62906,1.449421,2.150337,-0.287303,1.487551,0.040992,0.291811,0.564844,C
1.576532,0.530135,0.550446,-0.35079,-3.176064,1.82915,-0.805058,-0.025305,-1.425366,K
2.226011,0.809281,0.84423,0.206346,0.554382,1.592295,0.344439,0.007822,-0.717732,K
-1.528711,-1.858641,0.078134,-1.649929,2.339933,1.105726,0.381183,-0.470041,-1.22321,K
1.850177,-3.43575,0.890705,-1.937192,0.820212,0.676537,0.12009,-0.747732,-0.490704,K
1.441053,0.550855,1.56335,2.163162,-0.189164,0.369031,0.402683,0.659923,0.351,C
-3.427075,-4.38946,0.366211,-1.154362,0.518801,-0.115064,-1.032225,1.346635,-0.34792,K
1.969386,-2.230328,2.261064,-0.067775,0.250501,-1.407506,-0.666822,-1.382667,-0.092841,K
2.911103,1.214724,-1.00516,0.484086,-0.760765,-1.459005,-0.347071,0.609955,-0.107121,K
-2.126281,-4.146277,-5.630886,0.602491,-2.878855,1.121363,0.291856,0.047216,0.02178,C
2.324768,1.472334,-0.843791,0.294054,0.029919,1.029286,0.434947,0.476969,-1.056445,C
0.618356,-4.33042,-0.761527,-1.059008,-1.177256,-0.934521,-0.369932,-1.154912,0.224367,C
-2.007708,0.527271,-3.735906,2.80677,3.93331,-2.87517,-0.425187,0.392616,0.836047,C
-5.21586,0.726181,2.254396,-0.169171,1.244427,0.056352,-0.592305,-0.357426,-0.177437,C
2.900225,0.574677,1.35199,1.392306,-0.04582,0.687053,0.915521,0.358056,0.349661,C
1.69871,0.769547,1.104239,1.936072,0.43238,-0.55788,-0.334419,-0.267043,-0.427377,C
1.69871,0.769547,1.104239,1.936072,0.43238,-0.55788,-0.334419,-0.267043,-0.427377,C
3.452852,-0.956196,0.978208,-1.605942,-0.894529,-0.896728,-0.075967,0.278637,0.493398,C
2.170476,1.348326,-0.091397,-2.403979,0.377324,0.430782,0.008958,-0.708546,0.429707,C
2.149696,-1.314536,1.194021,-0.055313,0.135948,-1.035864,-0.021396,0.160436,0.448877,K
0.604894,2.226909,0.782744,0.665617,1.60506,-0.111643,0.128723,-0.247338,0.035703,K
-5.141846,0.734663,2.367846,-0.375023,1.246449,0.897172,-0.638685,-0.290539,-0.302194,K
-5.141846,0.734663,2.367846,-0.375023,1.246449,0.897172,-0.638685,-0.290539,-0.302194,K
-2.229865,-1.132597,-0.433173,1.564249,3.37178,1.656676,1.220671,-0.74877,0.142218,K
2.637416,-0.198065,-0.620104,0.132404,1.289879,0.688245,0.587298,-0.17038,0.098725,K
