nHaaCH,minaasC,minsNH2,MDEC-34,nTRing,nT7Ring,Results_2
0.363636,0.715899,0.854445,0,0.014085,0,Y
0.545455,0.480175,0,0,0.964789,0,N
0.272727,0.753668,0,0,0.978873,0,N
0.454545,0.278619,0,0,0.978873,0,N
0.727273,0.300719,0,0,1,0,N
0.909091,0.81745,0.854445,0.000026,0.021127,0,Y
0.181818,0,0.972437,0.118059,0.028169,0,N
0.454545,0.845518,0.9281,0,0.014085,0,N
0.454545,0.822979,0,0,0.021127,0,N
0.181818,0.073746,0,0.123566,0.014085,0,Y
0.363636,0.641871,0,0.165911,0.042254,0,Y
0.454545,0.892312,0.921369,0,0.014085,0,Y
0.090909,0.801437,0.82404,0,0.007042,0,Y
0.090909,0.448419,0,0,0.007042,0,Y
0.363636,0.704649,0,0,0.007042,0,Y
0,0.477799,0,0.206799,0.042254,0,Y
0,0.477799,0,0.206799,0.042254,0,Y
0.818182,0.815466,0,0,0.028169,0,Y
0.727273,0.757819,0,0,0.028169,1,Y
0.454545,0.870769,0,0,0.014085,0,N
0.272727,0.539353,0,0,0.007042,0,N
0.090909,0.448419,0,0,0.021127,0,N
0.090909,0.448419,0,0,0.021127,0,N
0.090909,0.553133,0.906396,0,0.035211,0,N
0.363636,0.809978,0.921615,0,0.028169,0,N
0,0.477799,0,0.459634,0.042254,0,N
0.363636,0.472053,0,0,0.021127,0,N
0,0.477799,0,0,0.021127,0,N
0.181818,0.820514,1,0.093535,0.021127,0,Y
0.636364,0.774059,0,0,0.028169,0,N
0.454545,0.870769,0,0,0.028169,0,Y
0.272727,0.277671,0,0,0.021127,0,N
0.090909,0.801437,0.82404,0,0.021127,0,N
0.272727,0.487756,0,0,0.021127,0,Y
0.181818,0.218712,0,0,0.021127,0,N
0.545455,0.417716,0,0,0.049296,0,N
0.727273,0.362663,0,0.097445,0.035211,0,N
0,0.477799,0,0,0.035211,0,Y
0,0.477799,0,0.391066,0.070423,0,N
0.454545,0.822979,0,0,0.035211,0,Y
0.181818,0.073746,0,0.123566,0.028169,0,N
0,0.477799,0,0.206799,0.056338,0,N
0.727273,0.552446,0.910985,0,0.049296,0,N
0,0.477799,0,0.311928,0.070423,0,N
0.454545,0.278619,0,0,0.042254,0,N
0.545455,0.329986,0,0,0.028169,0,N
0.181818,0,0.972437,0.118059,0.042254,0,N
0.636364,0.761732,0,0,0.028169,0,N
0.363636,0.715899,0.854445,0,0.021127,0,N
0.363636,0.84609,0.926302,0,0.021127,0,N
0,0.477799,0,0,0.021127,0,N
0.181818,0.820514,1,0.093535,0.021127,0,Y
0.636364,0.774059,0,0,0.028169,0,N
0.454545,0.870769,0,0,0.028169,0,N
0.272727,0.277671,0,0,0.021127,0,N
0.727273,0.661561,0,0.16883,0.028169,0,N
0.272727,0.487756,0,0,0.021127,0,Y
0.181818,0.218712,0,0,0.021127,0,Y
0.727273,0.362663,0,0.097445,0.035211,0,N
0.454545,0.845518,0.9281,0,0.028169,0,N
0.454545,0.822979,0,0,0.035211,0,Y
0.181818,0.073746,0,0.123566,0.028169,0,N
0.090909,0.448419,0,0,0.021127,0,N
0,0.477799,0,0.206799,0.056338,0,N
0.818182,0.230316,0.932127,0.103241,0.028169,0,Y
0,0.477799,0,0,0.035211,0,Y
0.363636,0.715899,0.854445,0.175612,0.007042,0,Y
0.636364,0.774059,0.950478,0,0.035211,0,Y
0.272727,0.539353,0.950478,0,0.028169,0,N
0.727273,0.499186,0.950478,0,0.049296,0,Y
0,0.477799,0,0,0.035211,0,Y
0.272727,0.487756,0,0,0.007042,0,N
0.181818,0.838631,0,0.153411,0.007042,0,Y
0,0.477799,0,0.153411,0.007042,0,Y
0.727273,0.335567,0,0.153411,0.014085,0,Y
0.727273,0.499186,0,0.153411,0.028169,0,Y
0.181818,0.510027,0.885701,0,0.035211,0,Y
0,0.477799,0,0,0.021127,0,N
0.545455,0.887247,0,0,0.042254,0,N
0.636364,0.774059,0,0,0.028169,0,N
0.454545,0.822979,0,0,0.035211,0,Y
0.181818,0.073746,0,0.123566,0.028169,0,Y
0.636364,0.761732,0,0,0.028169,0,N
0.363636,0.809978,0.921615,0,0.028169,0,N
0.545455,0.417716,0,0,0.049296,0,N
0.545455,0.887247,0,0,0.035211,0,N
0.636364,0.761732,0,0,0.028169,0,Y
0.090909,0.553133,0.906396,0,0.035211,0,Y
0.090909,0.603888,0,0,0.035211,0,Y
0.363636,0.809978,0.921615,0,0.028169,0,Y
0.363636,0.472053,0,0,0.021127,0,N
0.363636,0.84609,0.926302,0,0.021127,0,Y
0,0.477799,0,0,0.021127,0,N
0.454545,0.892312,0.921369,0,0.028169,0,Y
0.181818,0.820514,1,0.093535,0.021127,0,Y
0.818182,0.813269,0,0.185844,0.028169,0,Y
0.272727,0.277671,0,0,0.021127,0,Y
0.090909,0.801437,0.82404,0,0.021127,0,N
0.272727,0.487756,0,0,0.021127,0,N
0.636364,0.174777,0,0.139383,0.035211,0,Y
0.818182,0.235764,0,0.103241,0.028169,0,Y
0.181818,0.218712,0,0,0.021127,0,Y
0.727273,0.362663,0,0.097445,0.035211,0,N
0.818182,0.661087,0,0,0.028169,0,Y
0.454545,0.845518,0.9281,0,0.028169,0,Y
0,0.477799,0.822976,0,0.014085,0,Y
0.090909,0.448419,0,0,0.021127,0,N
0.363636,0.704649,0,0,0.021127,0,Y
0,0.477799,0,0.206799,0.056338,0,Y
0,0.477799,0,0,0.042254,0,Y
1,0.582569,0,0,0.035211,0,Y
0.454545,0.779744,0.927679,0,0.035211,0,Y
0.727273,1,0,0,0.056338,0,Y
0.454545,0.278619,0,0,0.042254,0,N
0.181818,0.838631,0,0,0.021127,0,Y
0.818182,0.230316,0.932127,0.103241,0.028169,0,Y
0.181818,0.477799,0,0,0.028169,0,Y
0.636364,0.761732,0,0,0.028169,0,N
0,0.477799,0.966045,0.13501,0.035211,0,N
0.363636,0.715899,0.854445,0,0.021127,0,N
0.545455,0.417716,0,0,0.049296,0,N
0.363636,0.317763,0,0,0.028169,0,N
0.454545,0.870769,0,0,0.028169,0,N
0.454545,0.822979,0,0,0.035211,0,Y
0.181818,0.073746,0,0.123566,0.028169,0,N
0.545455,0.417716,0,0,0.035211,0,N
0.363636,0.809978,0.921615,0,0.014085,0,N
0.636364,0.761732,0,0,0.014085,0,N
0.545455,0.887247,0,0,0.028169,0,Y
0.272727,0.487756,0,0,0.007042,0,N
0.727273,0.335567,0,0,0.014085,0,N
0,0.477799,0,0,0.007042,0,Y
0,0.477799,0,0,0.007042,0,Y
0.363636,0.806327,0,0,0.007042,0,Y
