'-0.282ETA_Epsilon_2+0.271MLogP+0.27 SpMin4_Bhm-0.261AATSC0s-0.251Mpe...',-0.309AATSC5c+0.298BCUTc-1l-0.296GATS6c-0.278AVP-2-0.217ATSC3e...,-0.365GGI9-0.345ALogp2-0.301SpMAD_Dze+0.273ETA_AlphaP-0.262ATSC3e...,-0.368nHaaCH-0.368naaCH-0.29AATS3p-0.274AATS0m-0.252maxHBint5...,-0.43SIC4-0.423BIC3-0.278GATS4p+0.271JGT+0.222BCUTc-1l...,'0.371MATS1c+0.345MATS5e_Exp+0.29 MATS3c+0.273AATSC7e_Exp-0.256GATS6c...',-0.411AATSC8c+0.376ATSC1i_Exp+0.293VR1_Dzv+0.271GATS8s_Exp-0.269VR1_D_Exp...,Results
-1.847507,5.143241,0.467352,0.506,-2.122522,0.521728,-1.243892,0
-1.620122,4.963256,0.622732,0.030196,-1.805227,0.649613,0.583739,0
-1.59729,4.927767,0.632297,0.022458,-1.784173,0.66297,0.658281,0
-1.62012,4.963252,0.622732,0.030194,-1.805223,0.649617,0.583755,0
-1.72904,5.274955,0.712718,0.253071,-1.943455,0.660529,-0.792137,1
-2.036647,6.427199,0.834038,0.607507,-2.623649,-0.134294,-4.387991,1
-1.605509,4.977874,0.685109,0.022645,-1.758649,0.773377,0.580916,0
-1.645439,5.134949,0.628449,0.247019,-1.84559,0.454002,-0.555047,0
-1.711859,5.501069,0.652326,0.225616,-1.908185,-0.026315,-1.137201,0
-1.721936,5.590919,0.811578,0.236981,-1.860581,0.39477,-1.207221,0
-1.693114,5.338897,0.661829,0.154284,-1.870804,0.289669,-0.543642,0
-1.620122,4.963256,0.622732,0.030196,-1.805227,0.649613,0.583739,0
-2.037254,6.65075,1.007642,0.378448,-2.239382,0.410471,-2.865476,0
